index,filename,sharpness,sharpness_norm,prev_hist_diff,prev_hist_diff_norm,combined_score,selected
0,000000.jpg,168.755227,0.895442,0.000000,0.000000,0.895442,True
1,000015.jpg,113.709076,0.577212,0.219425,0.551681,0.770301,True
2,000030.jpg,127.375285,0.656219,0.120210,0.302234,0.762001,True
3,000045.jpg,64.665336,0.293683,0.132710,0.333660,0.410464,False
4,000060.jpg,42.910604,0.167916,0.167349,0.420752,0.315179,False
5,000075.jpg,93.037833,0.457709,0.164903,0.414601,0.602819,True
6,000090.jpg,93.047143,0.457763,0.215810,0.542593,0.647670,True
7,000105.jpg,91.259438,0.447428,0.152195,0.382651,0.581355,True
8,000120.jpg,80.816026,0.387053,0.127977,0.321762,0.499669,True
9,000135.jpg,45.722738,0.184173,0.181804,0.457094,0.344156,False
10,000150.jpg,51.985218,0.220377,0.154744,0.389060,0.356548,False
11,000165.jpg,59.437386,0.263459,0.103893,0.261209,0.354883,False
12,000180.jpg,39.774183,0.149784,0.302683,0.761008,0.416136,False
13,000195.jpg,105.343732,0.528851,0.196037,0.492879,0.701359,True
14,000210.jpg,98.199815,0.487551,0.117008,0.294182,0.590515,True
15,000225.jpg,76.953459,0.364722,0.161481,0.405999,0.506822,True
16,000240.jpg,65.484577,0.298419,0.119106,0.299458,0.403229,False
17,000255.jpg,65.256308,0.297100,0.137012,0.344476,0.417666,False
18,000270.jpg,64.392591,0.292106,0.243066,0.611119,0.505998,True
19,000285.jpg,56.378477,0.245775,0.113992,0.286600,0.346085,False
20,000300.jpg,30.440604,0.095825,0.169869,0.427086,0.245305,False
21,000315.jpg,60.384868,0.268937,0.221166,0.556059,0.463558,False
22,000330.jpg,46.385194,0.188003,0.140209,0.352515,0.311383,False
23,000345.jpg,82.737100,0.398159,0.090220,0.226832,0.477550,False
24,000360.jpg,53.756489,0.230617,0.240338,0.604261,0.442109,False
25,000375.jpg,70.054698,0.324840,0.109590,0.275533,0.421276,False
26,000390.jpg,43.756957,0.172809,0.086427,0.217296,0.248862,False
27,000405.jpg,71.187909,0.331391,0.112102,0.281848,0.430038,False
28,000420.jpg,85.482187,0.414028,0.149037,0.374711,0.545177,True
29,000435.jpg,64.758551,0.294222,0.166966,0.419788,0.441148,False
30,000450.jpg,54.866604,0.237035,0.370587,0.931733,0.563142,True
31,000465.jpg,59.697595,0.264964,0.148622,0.373668,0.395748,False
32,000480.jpg,45.646665,0.183733,0.191113,0.480499,0.351908,False
33,000495.jpg,70.897181,0.329710,0.169832,0.426995,0.479158,False
34,000510.jpg,35.828622,0.126974,0.162466,0.408473,0.269939,False
35,000525.jpg,52.571444,0.223766,0.137471,0.345632,0.344738,False
36,000540.jpg,51.052280,0.214984,0.271326,0.682170,0.453743,False
37,000555.jpg,49.339618,0.205083,0.176115,0.442789,0.360059,False
38,000570.jpg,31.056109,0.099383,0.216733,0.544913,0.290103,False
39,000585.jpg,19.839513,0.034538,0.181335,0.455915,0.194108,False
40,000600.jpg,25.261059,0.065881,0.161686,0.406513,0.208161,False
41,000615.jpg,13.865238,0.000000,0.202702,0.509636,0.178373,False
42,000630.jpg,20.071708,0.035881,0.397739,1.000000,0.385881,False
43,000645.jpg,26.937321,0.075572,0.229679,0.577461,0.277683,False
44,000660.jpg,27.138013,0.076732,0.378354,0.951263,0.409674,False
45,000675.jpg,80.127131,0.383070,0.248308,0.624300,0.601575,True
46,000690.jpg,61.085783,0.272989,0.342959,0.862271,0.574784,True
47,000705.jpg,24.150065,0.059458,0.234566,0.589749,0.265870,False
48,000720.jpg,27.070486,0.076342,0.309598,0.778396,0.348780,False
49,000735.jpg,37.059771,0.134091,0.381225,0.958482,0.469560,False
50,000750.jpg,28.492133,0.084560,0.370085,0.930471,0.410225,False
51,000765.jpg,42.931404,0.168036,0.312436,0.785531,0.442972,False
52,000780.jpg,43.016264,0.168526,0.204253,0.513535,0.348264,False
53,000795.jpg,36.737434,0.132228,0.322460,0.810733,0.415984,False
54,000810.jpg,72.630189,0.339729,0.228202,0.573748,0.540541,True
55,000825.jpg,87.378946,0.424994,0.122719,0.308542,0.532984,True
56,000840.jpg,54.097640,0.232590,0.132922,0.334194,0.349558,False
57,000855.jpg,89.849563,0.439277,0.137783,0.346415,0.560522,True
58,000870.jpg,90.308647,0.441931,0.162348,0.408176,0.584793,True
59,000885.jpg,93.353801,0.459535,0.133070,0.334566,0.576634,True
60,000900.jpg,77.385664,0.367221,0.165135,0.415184,0.512535,True
61,000915.jpg,107.151229,0.539300,0.155176,0.390145,0.675851,True
62,000930.jpg,167.536111,0.888394,0.125295,0.315018,0.998651,True
63,000945.jpg,163.160357,0.863098,0.076200,0.191583,0.930152,False
64,000960.jpg,186.841191,1.000000,0.062920,0.158195,1.055368,True
